City,Speaker,Sex,BirthYear,Age,BirthPlace,OldResidences,Residences,OldProfessions,Retired,Profession,OtherProfessions,MaritalStatus,OtherMaritalStatuses,NumChildren,Children,YearsEducation,LevelEducation,Education,Languages,OtherLanguages,FatherBirthYear,FatherBirthPlace,FatherProfession,FatherEducation,FatherLanguages,FatherOtherLanguages,MotherBirthYear,MotherBirthPlace,MotherProfession,MotherEducation,MotherLanguages,MotherOtherLanguages,SpouseBirthPlace,SpouseProfession,SpouseEducation,SpouseLanguages,SpouseOtherLanguages,Training,HousingType,OtherHousingTypes,Neighborhood,Hobbies,Notes,FormalInterviewer,InformalInterviewer,StudyDate,StudyDuration,StudySetting,StudyCity,Relationship,OtherRelationship,InformalNotes,StudyOrder,Topics,StudyQuality,OtherObservations,EnvironmentQuality
Abidjan,ciank1,M,1979,26,Abidjan (CI),Abidjan,Abidjan (Plateau Dokui),,2,,etudiant BTS,Celibataire,,,,20 et plus,Superieur1,,francais ; anglais ; allemand ; guere.,guere compris.,0,,,,,,0,,,,,,,,,,,,Maison,,bonne,"basquet, foot ; scrable ; awale ; maquis",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciasb1,M,1973,32,Jacqueville (CI),Jacqueville (19) ; Man (3) ; Abobo (10),Abidjan (Abobo),,2,14,interimaire hotellerie,Celibataire,,,,20 et plus,,technique (BT),"alladian ; francais, anglais",Anglais scolaire,0,,,,,,0,,,,,,,,,,,professeurs de francais,Appartement,,bonne,"mer, foot ball, Internet",,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciasn1,F,1956,48,Sakassou (CI),"Sakassou (4); Divo (3); Bouake (5); Ferkessedougou (9); Adzope (1); Divo (1); Daloa (7); Vavoua (7); Yamoussoukro (6); Beoumi (3); Adzope (1); Abidjan (5), Djekoue (1)",Djekoue (CI),,1,5,institutrice,Marie,,,,20 et plus,lyceeI,,baoule ; francais ; dioula,,0,,,,,,0,,,,,,,,,,,oncle ; education stricte avec imposition du symbole ; un professeur de francais,Maison,,pas de probleme,non,,129,129,0000-00-00,,,,,,,,,,,
Abidjan,ciavd1,F,1949,55,Daloa (CI),Daloa (2) ; Burkina Faso (9) ; Mali (13) ; Abidjan (7),Abidjan (Cocody),Hotesse de l'air ; hotesse d'accueil ; Secretaire de direction,1,6,secretaire de direction,Marie,,,,,lyceeI,,bambara ; francais,,0,,,,,,0,,,,,,,,,,,l'ecole,Appartement,,bonne,"maison, lecture, voyages",,129,129,0000-00-00,,,,,,,,,,,
Aix-Marseille,13baa1,F,1920,82,La Ciotat (Bouches du Rha¯Â¿Â½ne),"La Ciotat (13) ; Marseille, dont Septemes-les-Vallons (61) , Aix-en-Provence (depuis 8 ans)",Aix-en-Provence,Secretaire dans un cabinet d'avocat (environ 1 an) puis dans bureaux d'une usine de chaussures,,12,Secretaire,Marie,veuve,3,Deux garcons(57 et 56 ans) et une fille (52 ans). Voir fiches des locuteurs2 13bMA1 et 13bPA1,16-18,SecondaireI,,provencal (passive),"Le locuteur dit ne pas vraiment parler le provencal, bien que ses enfants (locuteurs2 MA1 et PA1) affirment qu'elle le parle couramment.",0,La Ciotat (Bouches-du-Rhone),"coiffeur, paysan","certificat d'etudes, puis etudes de coiffure a  Paris.",provencal,,0,La Ciotat (Bouches-du-Rhone),sans,,provencal,,Marseille (Bouches-du-Rhone),,bac,,,frere aine l'a aidee au niveau scolaire.,Appartement,,"peu de relations de voisinga a  Aix, mais etaient tres bonnes lorsqu'elle habitait a  Septemes-les-Vallons (commune de Marseille).","Chant dans une chorale, lecture",,21,21,12/27/2002,90,appartement de l'enquetee,Aix-en-Provence,Familial,petite-fille par alliance,"L'entretien libre a ete effectue avec le petit-fils de l'enquetee, en presence d'Annelise Coquillon (petite-fille par alliance). Soit 3 locuteurs2.","texte, liste de mots, formel, informel","enfance, parcours de l'enquete, histoires familiales",Moyen,"bruits de froissement de nappe en papier interferent frequemment; interruption telephonique a  1min 47 du debut.rnEntretien formel : insertion d'une petite presentation par la locutrice au debut du fichier, qui avait ete enregistree au tout debut de l'enregistrement avant la lecture du texte",Moyen
Aix-Marseille,13bfa1,M,1972,30,Marseille (Bouches-du-Rhone),"Aix-en-Provence(18), Marseille (2x2), La Ciotat (1 et demi), Aix (depuis 3 ans)",Aix-en-Provence (quartier Encagnane),"pendant ses etudes : professeur de tennis, enqueteur au ministere de l'equipement, distributions publicitaires sur peages autoroutes (pendant 3 ans)",1,3,patron d'une boite de transport / livraisons,Concubinage,,,,20 et plus,Superieur4,licence d'Economie (AES)rnlicence et maitrise d'Ethnologie,"anglais (passif), provencal (passif)","anglais peu, mais bien compris, provencal compris mais peu pratique.",1945,Marseille (Septemes les Vallons),Assureur,a arrete avant le bac,provencal (passif),provencal compris mais peu parle,1945,Marseille (Bouches-du-Rhone)),Agent administratif,a arrete avant le bac,provencal (passif),provencal compris mais peu parle,"Vienne (Isere), mais vivait dans le Var",,doctorat(actuel),"anglais (actif), italien, portugais (passifs)",a passe une annee aux Etats-Unis-d'Amerique,,Appartement,,"peu integre dans le quartier, mais a de bonnes relations de voisinage.","cine-tele, musique ; peu de voyages recents, mais a ete 3 fois dans les Caraa Â¯bes, peche, plongee, foot (pratique et suivi tele!)",,21,21,12/9/2002,90,appartement de l'enquete,Aix-en-Provence,Aucun,"Delphine Duponchelle (E1) etudiante inconnue du locuteur, en presence d'Annelise Coquillon","l'entretien libre s'est effectue avec le cousin de l'enquete (13bSA1), en presence de Delphine Duponchelle (etudiante) et de la concubine de l'informateur (Annelise Coquillon): Soit 4 locuteurs2 presents.","texte, liste de mots, guide, libre","famille, la region marseillaise, la lecture, recits de vacances ainsi qu'anecdote entre l'enquete et son cousin pendant la conversation informelle",Bon,pour l'entretien libre: de nombreuses interruptions telles qu'un voisin qui sonne ; et locuteurs2 mangeant des g teaux pendant l'enregistrement ; telephone ; chien des voisins qui geint quasiment tout au long de l'enregistrement,Moyen
Aix-Marseille,13bpa1,M,1946,58,Septemes les Vallons (commune de Marseille),"Septemes les Vallons (nc), d'Aix-en-Provence (nc)",Ch teauneuf le Rouge (proche d'Aix-en-Provence),,1,7,informaticien au ministere de l'equipement,Marie,,2,"deux enfants de 28 et 30 ans, respectivement DESS et diplome d'ingenieur",16-18,lyceeI,,"italien, anglais, provencal (passives)",,1920,Marseille (Bouches-du-Rhone),Directeur de societe (usine),baccalaureat.,,,1920,La Ciotat (Bouches-du-Rhone),sans,"jusqu'a  16 ans, niveau brevet de fin d'etudes",provencal (actif),"Provencal actif selon l'enquete, mais pas vraiment selon la mere elle-meme (locuteur AA1 de la meme enquete)",niveau brevet de fin d'etudes,,Brevet d'enseignement commercial,"italien (plus ou moins actif), provencal (passif)",,,Maison,Maison en lotissement,bonnes relations de voisinage,"voyages, loisirs reguliers : marche, tennis, foot",,21,21,3/23/2004,90,maison de l'enquete,Ch teauneuf le Rouge (Bouches du Rhone),Familial,niece par alliance,"realise avec l'epouse de l'enquete, en presence de l'enquetrice de l'entretien guide (Annelise Coquillon), soit 3 locuteurs2.","formel, texte, liste de mots, informel","etudes, maladie du pere, travail, relations avec ses belle-filles",Bon,,Bon
Aix-Marseille,13bsa1,M,1975,27,Marseille (Bouches du Rhone),"Ch teauneuf le Rouge (18), Marseille (9)",Marseille,CDD dans diverses entreprises en tant que technicien securite environnement,1,9,Vacataire technicien securite environnement,Concubinage,,,,20 et plus,Superieur4,"Bac D ; DEUG B, MST environnement, DESS securite environnement",anglais (passif),niveau d'anglais universitaire,1946,Septemes les Vallons (commune de Marseille),Informaticien au Ministere de l'Equipement,niveau bac (non obtenu),"italien (plus ou moins actif), anglais, provencal (passifs)",,1946,Septemes les Vallons (commune de Marseille),Pre-retraite de chargee de gestion au Ministere de l'Equipement,niveau bac et Brevet d'enseignement commercial,"italien (plus ou moins actif) , provencal (passif)",,Marseille (Bouches-du-Rhone),,"jusqu'a  25 ans, DESS securite environnement","anglais, provencal (passifs)",,"Sa grand-mere, qui vit au domicile de ses parents, a ete tres presente lors de sa scolarisation.",Appartement,,"bonne, bien que peu de relations de voisinage, habitant en immeuble.","Peche, chasse sous marine, football (comme joueur et supporter), musique, cinema; voyages touristiques principalement en Corse.",,21,21,12/10/2002,90,appartement du cousin de l'enquetee,Aix-en-Provence,Aucun,"Delphine Duponchelle (E1) etudiante inconnue du locuteur, en presence d'Annelise Coquillon","discussion avec le cousin de l'enquete (locuteur FA1), en presence de la concubine de FA1 (Annelise Coquillon) et de l'etudiante ayant realise l'entretien guide. Soit 4 locuteurs2 presents","Texte, formel, liste de mots, informel","famille, recits de vacances ainsi que des anecdotes entre l'enquete et son cousin.",Bon,de nombreuses interruptions telles qu'un voisin qui sonne ; et locuteurs2 mangeant des g teaux pendant l'enregistrement ; telephone ; chien des voisins qui geint quasiment tout au long de l'enregistrement,Moyen
Aix-Marseille,13brp2,M,1958,45,Marseille (Bouches du Rhone),Marseille,,Cuisinier dans l'armee puis dans le civil,3,14,Chef cuisinier en restauration collective sur des bateaux (traversees en mediterranee principalement),Marie,,1,fille de 17 ans en classe de terminale.,18-20,,BEP et CAP Cuisine,provencal (passif),,1921,Marseille (Bouches-du-Rhone),retraite d'ouvrier d'usine,niveau brevet,provencal (actif),provencal comme langue maternelle,1925,Marseille,sans,etudes d'infirmiere,"provencal (actif), italien (actif)",,Marseille (Bouches-du-Rhone),,,,,,Maison,,tres bonne,"peinture, football, voyages touristiques",,21,21,9/18/2003,90,maison de l'enquete,Marseille,Familial,niece par alliance,"Annelise Coquillon (E1), ainsi que la femme, la fille et le neveu du locuteur. Soit 5 locuteurs2 presents","Liste de mots, texte, entretient formel, informel",travail et famille,Moyen,"Entretien libre: de trop nombreux chevauchements. J'ai tout de meme selectionne les passages les moins perturbes, en inserant dans le fichier son 3 secondes de silence entre chaque coupure. La premiere partie se passe pendant l'aperitif (nombreux bruits de verre/ glacons) et une personne parle en arriere plan au telephone)",Bruit
Aix-Marseille,13brp1,M,1921,81,Vinon sur Verdon (Var),,Septemes les Vallons (commune de Marseille),15,,,retraite d'ouvrier d'usine (chemins de fer),Marie,veuf depuis 12 ans,4,"3 filles : 58 ans (fille adoptive, niveau 2nde et CAP), 55 ans (niveau bac) et 50 ans (niveau bac), et un fils de 45 ans (CAP et BEP de cuisinier).",,SecondaireI,,provencal (actif),"provencal est la langue maternelle, a appris le francais a  partir de l'ecole (vers 4 ans)",0,Marseille (Bouches-du-Rhone),buraliste,,provencal (actif),,0,Marseille,sans,,provencal (actif),,1925,,etudes d'infirmiere,provencal (actif),,,Maison,,tres bonnes relations de voisinage et tres bonne integration dans le village puisqu'il etait egalement garde chasse et tres implique dans la vie politique de la commune.,"chasse, lecture (en francais et en provencal)",,21,21,2/17/2003,120,maison de l'enquete,Septemes les Vallons,Familial,petite-fille par alliance,"la discussion libre s'est effectuee avec le petit-fils de l'enquete (le locuteur FA1), en presence d'Annelise Coquillon (E1)","formel, texte, liste de mots, informel","la chasse, la famille, la langue provencale",Bon,Tic tac de l'horloge assez fort,Bon
Aix-Marseille,13bjc1,F,1945,57,Septemes les Vallons (commune de Marseille),"Marseille (28), Aix-en-provence (29)",Aix-en-Provence,,1,7,Agent administratif (fonctionnaire B+) au ministere de l'equipement,Celibataire,divorcee,2,"fils de 31 ans et fille de 23 ans de peres differents, les deux ayant une maitrise (bac+4)",16-18,,"niveau seconde, puis CAP d'employe de bureau",provencal (passif),Provencal tres bien compris mais peu pratique,1921,Vinon sur Verdon (Var),ouvrier d'usine (chemins de fer),niveau brevet,provencal (actif),"le pere est le locuteur RP1, qui a eu le provencal comme langue maternelle.rnil s'agit de son pere adoptif, depuis l' ge de 3 ans environ, l'enquetee n'ayant jamais reellement connu son pere biologique.",1925,Marseille (Bouches du Rhone),sans,"etudes d'infirmiere, metier qu'elle n'a jamais exerce ""officiellement""",provencal (actif),,,,,,,,Appartement,HLM,bonnes relations de voisinage.,"voyages culturels (Grece, Chine, Italie, Yougoslavie, Guadeloupe, Sri Lanka...), lecture, ecriture, passionnee d'archeologie.",,21,21,12/18/2002,90,appartement de l'enquetee,Aix-en-Provence,Aucun,"etudiante inconnue du locuteur, en presence d'Annelise Coquillon","discussion avec Annelise Coquillon, belle-fille de l'enquetee, en presence de l'etudiante ayant effectue l'entretien guide, soit 3 locutrice","formel, texte, liste de mots, informel","enfance, politique, pere de l'enqueteur (histoires familiales)",Bon,intervention d'ouvriers dans l'appartement provoquant une interruption d'une demi-heure environ.,Bon
Aix-Marseille,13bma1,F,1950,53,Septemes les Vallons (commune de Marseille),"Septemes (21), Aix-en-Provence (32)",Aix-en-Provence,,1,7,infirmiere chef,Concubinage,depuis 10 ans,,,,,"Etudes jusqu'en 2nde, Diplome d'Etat d'infirmiere a  20 ans",,,1920,Marseille (Bouches-du-Rhone),directeur de societe (d'usine),baccalaureat,,,1920,La Ciotat (Bouches du Rhone),sans,niveau brevet,provencal (actif),,Bolville (Normandie),,,anglais (actif),,,Maison,,peu de voisins en fait,"voyages touristiques (caraibes le plus souvent), lecture",,21,21,1/7/2003,90,maison de l'enquetee,Aix-en-Provence,Familial,niece par alliance,"conversation avec son concubin, en presence de l'enquetrice (Annelise Coquillon), soit 3 locuteurs2","formel, liste de mots, texte, informe","famille, milieu politique Aixois",Bon,"arrivee du concubin pendant l'entretien guide, quelques bruits du chien qui marche sur le parquet",Moyen
Aveyronnais a Paris,75xab1,M,1978,24,Rodez (Aveyron),"Rodez (17), Montpellier (7)",Paris (17e),Controleur de gestion,1,12,Controleur de gestion,Celibataire,,,,,,maitrise en sciences de gestion,"anglais, espagnol",,0,,,,,,1948,Cornus (Aveyron),Secretaire administrative,Certificat d'etudes,"Francais, occitan",,,,,,,,,Foyer de Jeunes Travailleurs de la Cite des Fleurs (foyer aveyronnais  Paris),"Moins integre dans le foyer que les autres jeunes, plus de connaissances  Paris",Lecture,ne connait pas son pere; sa mere s'est remariee quand il avait 11 ans (avec un Aveyronnais; passe tous les week-ends chez sa copine  Monpellier,57,57,0000-00-00,,Foyer de Jeunes Travailleurs de la Cite des Fleurs,Paris,Amical,,"Enquetrice, enquete, une amie de l'enquete","texte, liste, formel, informel","formel: Seigneur des Anneaux, Harry Potter, le 11 septembrerninformel: un ami photographe, appareils-photo numeriques, visite chez l'ophtalmologiste, prix des medecinsrn",,L'enquetrice est appelee au telephone,Moyen
Aveyronnais a Paris,75xcm1,F,1978,23,Rodez (Aveyron),"Concoures (22), Montpellier (1)",Paris (17e),ingenieur,1,6,ingenieur,Celibataire,,,,,,"Prepa, ecole d'ingenieur (bac+5)","anglais, allemand, espagnol",,1950,Concoures (Aveyron),agriculteur,Certificat d'etudes,occitan,,1955,Bozouls (Aveyron),Mere au foyer / agricultrice,bac,"anglais, espagnol, occitan",,,,,,,,,Foyer de Jeunes Travailleurs de la Cite des Fleurs (foyer aveyronnais  Paris),"ne connait que des gens du foyer, mais personne du quartier","Cinema, theatre, musee, lecture, musique, marche  pied",,57,57,12/9/2001,,Foyer de Jeunes Travailleurs de la Cite des Fleurs,Paris,Amical,,"enquetrice, enquetee, un autre enauete(75xsl1), une amie des deux enquetes","formel, texte, liste, informel",formel: etudes,,,
Aveyronnais a Paris,75xjo1,F,1979,23,Decazeville (Aveyron),"Decazeville (17), Rodez (3), Toulouse (1), Madrid (2)",Paris (17e),,1,17,geographie-cinema,Celibataire,,,,,,,"espagnol, anglais",Le locuteur est bilingue francais-espagnol,1936,Decazeville (Aveyron),conducteur,Certificat d'etudes,espagnol,bilingue francais-espagnol,1947,Barruelo de Santulla Â¡n (Espagne),Agent de production,Jusqu' 14 ans,espagnol,Langue maternelle: espagnol,,,,,,,,Foyer de Jeunes Travailleurs de la Cite des Fleurs (foyer aveyronnais  Paris),"ne connait que les gens du foyer et de la fac, mais personne du quartier","Cinema, lecture, se promener, ecouter la musique, faire la fete, voyager (Barcelonne, Lisbonne, Rome)",,57,57,1/1/2006,,Foyer de Jeunes Travailleurs de la Cite des Fleurs,Paris,Amical,,"Enauetrice, enquete, un autre enquete (75xfh1)",?,,,,
Aveyronnais a Paris,75xad1,F,1926,75,Aubin (Aveyron),"Aubin (3), Viviez (9), Raincy (6 mois), Aubin (4), Espalion (2), Autun (1), Paris (43), Puteaux (13)",Puteaux,couturiere,3,19,,Marie,veuve,2,"Deux filles: 56 ans (bac), 53 ans(CEP)",,,Certificat d'etudes + apprentissage de couturiere,"armenien, anglais",langue maternelle: armenien,1904,Mouch (Armenie),"Mineur, ouvrier metallurgiste",Jusqu' 10 ans (?),"armenien, turc",,1903,Rapeth (Armenie,mere au foyer,Jusqu' 10 ans (?),"armenien, turc",,Indires (Armenie),Garcon de restaurant,Jusqu' 10 ans (?),"armenien, turc",,,Appartement,,"Pas trop integree dans le quartier, connait mieux le milieu aveyronnais  Paris","Peinture, encadrement, association aveyronnaise",,57,57,12/18/2001,,Feederation Nationale des Amicales Aveyronnaises,Paris,,,"Enquetrice, enquetee, un autre enauete (75xrg1)","Texte, liste de mots, formel, informel",,,,
Aveyronnais a Paris,75xba1,M,1936,65,Pomayrols (Aveyron),"Pomayrols (10), Chanac (4), Vragues (4), Algerie (1), region parisienne (10), Versailles (34",Versailles,"Commercial + petits boulots (cafe, ferme des parents aâ‚¬â€œ toutes les vacances jusqu'en 1980)",3,19,,Marie,,2,"Deux enfants : 44 ans (bac+2), 41 ans (bac+4)",moins de 14,lyceeC,bac,"italien, occitan",0,,Pomayrols (Aveyron),bougnat,Jusqu' 12/14 ans,patois,,0,Pomayrols (Aveyron),"Cafe, bougnat",Certificat d'etudes,patois,,Belle Ile en mer (56),enseignement,bac,anglais,,,Appartement,,bonne,"Associations regionales (Aveyron, Auvergne), rugby, anciens combattants, chasse",,57,57,12/18/2001,,Federation Nationale des Amicales Aveyronnaises,Paris,,,"Enquetrice, enquete, trois autres membres de la Federation Nationale des Amicales Aveyronnaises","Formel, texte, liste, informel",,,,
Aveyronnais a Paris,75xdl1,F,1922,79,Salles-Curan (Aveyron),"Salles-Curan (30), Livry Gargan (6), Paris (10), Rodez (6), Livry Gargan (6), Villemomble (21)",Villemomble (93),Femme au foyer,3,19,,Marie,,1,"Un fils: 48 ans, bac + 3 ans d'ecole radio + 2 ans d'ecole des cadres",14-16,,Certificat d'etudes (14 ans),patois,comprend le patois,0,Salles-Curan (Aveyron),Marchand de bestiaux,?,patois,,0,Salles-Curan (Aveyron),epiciere,?,patois,,Livry Gargan (93),Officier  l'armee,bac,,,,Appartement,,"Connait, mais ne frequente pas souvent les gens du quartier",lecture,,57,57,12/4/2001,70,maison de l'enquetee,Villecomble,voisine  Salles-Curan,,"Enquetrice, enquetee, mari de l'enquetee","Formel, texte, liste, informel",,,,
Aveyronnais a Paris,75xpd1,M,1978,23,Albi,"Albi (3), Costes-Rouges (1), La Primaube (19) ;",Paris (17e),,1,17,IUFM,Celibataire,,,,moins de 14,Superieur3,maitrise d'anglais,"anglais, espagnol, allemand",,1951,Rieupeyroux (Aveyron),Cadre  la securite sociale,bac,patois,,1954,Millau (Aveyron),comptable,Certificat d'etudes,,,,,,,,,,Foyer de Jeunes Travailleurs de la Cite des Fleurs (foyer aveyronnais  Paris),"ne connait que les gens du foyer, mais personne dans le quartier","Foot, cinema, lecture, voyages : Angleterre, Etats-Unis",,57,57,12/16/2001,,Foyer de Jeunes Travailleurs de la Cite des Fleurs (foyer aveyronnais  Paris),Paris,Amical,,"Enquetrice, enquete, une fille du foyer","Informel, formel, texte, liste",,,,
Aveyronnais a Paris,75xmm1,F,1980,21,Figeac,"Livinhac-le-Haut (9), Decazeville (12) ;",Paris (17e),,1,17,,Celibataire,,,,,,"prepa, ecole de psychomotricite","anglais, espagnol",,1950,Toulouse (Haute-Garonne),Medecin generaliste,Bac+7,anglais,,1951,Saigon (Viet-Nam),"Medecin generaliste, homeophathe, acupuncteur",Bac+7,,,,,,,,,,Foyer de Jeunes Travailleurs de la Cite des FLeurs (foyer aveyronnais),"gens du foyer, mais connait aussi beaucoup de gens  Paris","Danse israelienne, danse contemporaine, dessin, art contemporain",,57,57,1/1/2006,,,,,,,,,,,
Aveyronnais a Paris,75xep1,F,1979,22,Villefranche-de-Rouergue (Aveyron),"Drulhe (Aveyron, 18), Toulouse (4), Paris (6 mois)",Paris (17e),,1,17,,Celibataire,,,,moins de 14,Superieur4,ecole de commerce (5e annee),"anglais, occitan",comprend l'occitan,1946,Drulhe,agriculteur,bac,occitan,comprend l'occitan,1952,Sainte Croix (Aveyron),agricultrice / assistante maternelle,bac,occitan,comprend l'occitan,,,,,,,Appartement,Foyer aveyronnais,,,,57,57,1/1/2006,,foyer,Paris,Amical,,,,,,,
Aveyronnais a Paris,75xlv1,F,1950,51,Lacroix-Barrez,"Lacroix-Barrez (19), Paris (2), Villejuif (30)",Villejuif,"cassiere, employee de bureau",3,21,invalidite,Marie,,1,"1 fils, 24, fac",14-16,Primaire,Certificat d'Etudes,occitan,parle occitan,1927,Lacroix-Barrez (Aveyron),agrculteur,Certificat d'Etudes,occitan,parle occitan,1930,Therondels (Aveyron),Certificat d'Etudes,,parle occitan,,Brommat (Aveyron),,CAP,,,,Appartement,,,,,57,57,0000-00-00,,,,,,,,,,,
Aveyronnais a Paris,75xmb1,M,1959,41,Montpeyroux (Aveyron),"Montpeyroux (19), Belfort (2), Puteaux (5), Paris (5), Montreuil (10)",Montreuil,"mechanicien, pl trier, commercant, agriculteur, gastronomie",1,13,restauration,Concubinage,,3,,,SecondaireC,BEP/CAP,"anglais, espagnol, occitan",parle l'occitan,1912,Paris,"restaurateur, agriculteur",Certificat d'etudes,occitan,parle occitan,1926,Anglard de Saint Flour (Cantal),agricultrice,Certificat d'Etudes,occitan,parle occitan,Normandie,,bac,"anglais, allemand",,,Appartement,,,,voisin de 75xms1,57,57,1/1/2006,,appartement de l'enquete,Montreuil,Amical,ami d'une amie,,,,,,
