SearchID,Speaker,LeftContext,Codes,RightContext,City
122,snaac1,ses che1212mise,411,"s en soie, un champion local0412 de1122 course0421",Senegal Dakar
123,snaac1,l0412s titre1422s de,1112, gloire0412 de1122 Beaulieu etaient son vin blanc,Senegal Dakar
124,snaac1,ns cette0412 commune,411,,Senegal Dakar
125,snaac1,au cour,412,s de1122 sa tournee de1112 la region en fin da,Senegal Dakar
126,snaac1,au cour0412s de,1122, sa tournee de1112 la region en fin dannee.,Senegal Dakar
127,snaac1,e1122 sa tournee de,1112, la region en fin dannee.,Senegal Dakar
128,snaac1,11 etape dans cette,412, commune0411,Senegal Dakar
129,snaac1,en effet decide de,1112, faire0411 etape dans cette0412 commune0411,Senegal Dakar
130,snaac1,e1132 village0412 de,1122, Beaulieu est en grand emoi.,Senegal Dakar
131,snaac1,Le,1132, Premier Ministre0421 a en effet decide de1112 f,Senegal Dakar
132,snaac1,132 Premier Ministre,421, a en effet decide de1112 faire0411 etape dans,Senegal Dakar
133,snaad1,indique,1312,raient que1112 des activiste1422s des commune0412s,Senegal Dakar
134,snaad1,uvel0411 Observateur,414,,Senegal Dakar
135,snaad1,"s/, et Le1112 Nouvel",411, Observateur0414,Senegal Dakar
136,snaad1,"Nouvel0412 s/, et Le",1112, Nouvel0411 Observateur0414,Senegal Dakar
137,snaad1,te et Le1112 Nouvel,412," s/, et Le1112 Nouvel0411 Observateur0414",Senegal Dakar
138,snaad1,t0422 Liberte et Le,1112," Nouvel0412 s/, et Le1112 Nouvel0411 Observateur04",Senegal Dakar
139,snaad1,"Express0414, Ouest",422," Liberte et Le1112 Nouvel0412 s/, et Le1112 Nouve",Senegal Dakar
140,snaad1,LExpress,414,", Ouest0422 Liberte et Le1112 Nouvel0412 s/, et L",Senegal Dakar
141,snaad1,us dans la Depaache,412," du Centre1424,",Senegal Dakar
142,snaad1,"32 plus0414, quelque",1422,s article0422s parus dans la Depaache0412 du Cent,Senegal Dakar
143,snaad1,quelque1422s article,422,"s parus dans la Depaache0412 du Centre1424,",Senegal Dakar
144,snaad1,De,1132," plus0414, quelque1422s article0422s parus dans la",Senegal Dakar
145,snaad1,2 soutien du village,411, entier.,Senegal Dakar
146,snaad1,Nous avons le,1112, soutien du village0411 entier.,Senegal Dakar
147,snaad1,12 repondons pas de,1112, la reaction des gens du pays.,Senegal Dakar
148,snaad1,nous ne,1112, repondons pas de1112 la reaction des gens du pa,Senegal Dakar
149,snaad1,er patte0412 blanche,412," pour0412 circuler,",Senegal Dakar
150,snaad1,2 faut montrer patte,412," blanche0412 pour0412 circuler,",Senegal Dakar
151,snaad1,Sil,412, faut montrer patte0412 blanche0412 pour0412 circu,Senegal Dakar
152,snaad1,ne0412 membre1422 de,1112," lopposition aurait declare,",Senegal Dakar
153,snaad1,Un jeune,412," membre1422 de1112 lopposition aurait declare,",Senegal Dakar
154,snaad1,de1112 provoquer une,411, explosion.,Senegal Dakar
155,snaad1,ite risque1422nt de,1112, provoquer une0411 explosion.,Senegal Dakar
156,snaad1,"12 police0414, comme",411," on en a vu a Jonquiare0414,",Senegal Dakar
157,snaad1,n a vu a Jonquiare,414,",",Senegal Dakar
158,snaad1,12ment de1112 police,414,", comme0411 on en a vu a Jonquiare0414,",Senegal Dakar
159,snaad1, detache0312ment de,1112," police0414, comme0411 on en a vu a Jonquiare041",Senegal Dakar
160,snaad1,est fait pour0412 le,1122, proteger.,Senegal Dakar
161,snaad1,Or,414,", un gros detache0312ment de1112 police0414, comm",Senegal Dakar
162,snaad1,"14, un gros detache",312,"ment de1112 police0414, comme0411 on en a vu a Jo",Senegal Dakar
163,snaad1,et sassure,412, que1122 tout est fait pour0412 le1122 proteger.,Senegal Dakar
164,snaad1,322ment prend contac,451,t avec0412 la prefecture0412 la plus proche0414,Senegal Dakar
165,snaad1,end contac0451t avec,412, la prefecture0412 la plus proche0414,Senegal Dakar
166,snaad1,le1132 gouverne,1322,ment prend contac0451t avec0412 la prefecture0412,Senegal Dakar
167,snaad1, du Premier Ministre,1424,",",Senegal Dakar
168,snaad1,2nt leur0412 colare,413,0,Senegal Dakar
169,snaad1,Dun autre,1422," cate, a chaque0412 voyage0412 du Premier Minis",Senegal Dakar
170,snaad1, les bords manifeste,1422,nt leur0412 colare0413.,Senegal Dakar
171,snaad1,manifeste1422nt leur,412, colare0413.,Senegal Dakar
172,snaad1,"s de1112 tous l/, de",1132, tous les bords manifeste1422nt leur0412 colare04,Senegal Dakar
173,snaad1,112 des opposants de,1112," tous l/, de1132 tous les bords manifeste1422nt le",Senegal Dakar
174,snaad1, barrage0412s chaque,412," fois que1112 des opposants de1112 tous l/, de1132",Senegal Dakar
175,snaad1,Pierre0412 qui mane,411, au village0414,Senegal Dakar
176,snaad1,mane0411 au village,414,,Senegal Dakar
177,snaad1,u tendance0411 a se,1112, multiplier lor0412s des visite0412s officielle041,Senegal Dakar
178,snaad1,e1112 multiplier lor,412,s des visite0412s officielle0413s?,Senegal Dakar
179,snaad1, lor0412s des visite,412,s officielle0413s?,Senegal Dakar
180,snaad1,12 de1122 baisser de,1212,puis les elections.,Senegal Dakar
181,snaad1,qui ont eu tendance,411, a se1112 multiplier lor0412s des visite0412s off,Senegal Dakar
182,snaad1,tre1422 ne1112 cesse,412, de1122 baisser de1212puis les elections.,Senegal Dakar
183,snaad1, est en re1212vanche,412, tras inquiet.,Senegal Dakar
184,snaad1,La cote,412, du Premier Ministre1422 ne1112 cesse0412 de1122 b,Senegal Dakar
185,snaad1,"422 Blanc, est en re",1212,vanche0412 tras inquiet.,Senegal Dakar
186,snaad1,"e1122 Beaulieu, Marc",422," Blanc, est en re1212vanche0412 tras inquiet.",Senegal Dakar
187,snaad1,Le1132 maire,412," de1122 Beaulieu, Marc0422 Blanc, est en re1212van",Senegal Dakar
188,snaad1,Le1132 maire0412 de,1122," Beaulieu, Marc0422 Blanc, est en re1212vanche0412",Senegal Dakar
189,snaad1,Le,1132," maire0412 de1122 Beaulieu, Marc0422 Blanc, est en",Senegal Dakar
190,snaad1,elle0412 la campagne,412, profonde1413.,Senegal Dakar
191,snaad1,ir0412 ce1122 quil,411, appelle0412 la campagne0412 profonde1413.,Senegal Dakar
192,snaad1,2 quil0411 appelle,412, la campagne0412 profonde1413.,Senegal Dakar
193,snaad1,ut decouvrir0412 ce,1122, quil0411 appelle0412 la campagne0412 profonde14,Senegal Dakar
194,snaad1, toujour0411s autour,412," des maame0412s ville0414s,",Senegal Dakar
195,snaad1,autour0412 des maame,412,"s ville0414s,",Senegal Dakar
196,snaad1,des maame0412s ville,414,"s,",Senegal Dakar
197,snaad1,veut decouvrir,412, ce1122 quil0411 appelle0412 la campagne0412 pro,Senegal Dakar
198,snaad1,car,412," le1122 Premier Ministre0454, lasse des circuits",Senegal Dakar
199,snaad1,car0412 le,1122," Premier Ministre0454, lasse des circuits habitue",Senegal Dakar
200,snaad1,122 Premier Ministre,454,", lasse des circuits habituel0414s",Senegal Dakar
201,snaad1,es circuits habituel,414,s,Senegal Dakar
202,snaad1,ui tournaient autour,414,", qui tournaient toujour0411s autour0412 des maame",Senegal Dakar
203,snaad1,i tournaient toujour,411,"s autour0412 des maame0412s ville0414s,",Senegal Dakar
204,snaad1, valu a Beaulieu ce,1112, grand honneur0413?,Senegal Dakar
205,snaad1,Le,1131," hasar0414d, tout baate0312ment,",Senegal Dakar
206,snaad1,Le1131 hasar,414,"d, tout baate0312ment,",Senegal Dakar
207,snaad1,stce0412 qui a donc,412, valu a Beaulieu ce1112 grand honneur0413?,Senegal Dakar
208,snaad1,Questce,412, qui a donc0412 valu a Beaulieu ce1112 grand honn,Senegal Dakar
209,snaad1,ine0412 de1122 pate,411,s italienne0413s.,Senegal Dakar
210,snaad1,"cisement, son usine",412, de1122 pate0411s italienne0413s.,Senegal Dakar
211,snaad1,euh quatriame,411, aux jeux olympique0412s de1112 Berlin en dix0412,Senegal Dakar
212,snaad1,1 aux jeux olympique,412,s de1112 Berlin en dix0412neuf0412 cent trente041,Senegal Dakar
213,snaad1,ux olympique0412s de,1112, Berlin en dix0412neuf0412 cent trente0412six041,Senegal Dakar
214,snaad1,de1112 Berlin en dix,412,"neuf0412 cent trente0412six0414,",Senegal Dakar
215,snaad1,rlin en dix0412neuf,412," cent trente0412six0414,",Senegal Dakar
216,snaad1,neuf0412 cent trente,412,"six0414,",Senegal Dakar
217,snaad1, cent trente0412six,414,",",Senegal Dakar
218,snaad1,hampion local0412 de,1122," course0421 a pied, Louis Garret,",Senegal Dakar
219,snaad1,un champion local,412," de1122 course0421 a pied, Louis Garret,",Senegal Dakar
220,snaad1,"414, ses che1212mise",411,"s en soie,",Senegal Dakar
221,snaad1,"anc sec0414, ses che",1212,"mise0411s en soie,",Senegal Dakar
222,snaad1,de1112 gloire0412 de,1122," Beaulieu son vin sec0414,",Senegal Dakar
223,snaad1,Beaulieu son vin sec,414,",",Senegal Dakar
224,snaad1, les seul0412s titre,1422,s de1112 gloire0412 de1122 Beaulieu son vin sec041,Senegal Dakar
225,snaad1,l0412s titre1422s de,1112," gloire0412 de1122 Beaulieu son vin sec0414,",Senegal Dakar
226,snaad1,e1422s de1112 gloire,412," de1122 Beaulieu son vin sec0414,",Senegal Dakar
227,snaad1,au cour0412s de,1122, sa tournee de1112 region en fin dannee.,Senegal Dakar
228,snaad1,e1122 sa tournee de,1112, region en fin dannee.,Senegal Dakar
229,snaad1,"Jusquici, les seul",412,s titre1422s de1112 gloire0412 de1122 Beaulieu son,Senegal Dakar
230,snaad1,au cour,412,s de1122 sa tournee de1112 region en fin dann,Senegal Dakar
231,snaad1,112 faire0411 etape,412, dans cette0412 commune0411,Senegal Dakar
232,snaad1,en effet decide de,1112, faire0411 etape0412 dans cette0412 commune0411,Senegal Dakar
233,snaad1, etait vraiment une,411," etape0412 necessaire0412 dans la ch/, dans la t",Senegal Dakar
234,snaad1,iment une0411 etape,412," necessaire0412 dans la ch/, dans la tournee pr",Senegal Dakar
235,snaas1,paache0412 du Centre,424,",",Senegal Dakar
236,snaas1,quelque1422s article,422,"s parus dans la Depaache0412 du Centre0424,",Senegal Dakar
237,snaas1,us dans la Depaache,412," du Centre0424,",Senegal Dakar
238,snaas1,"32 plus0414, quelque",1422,s article0422s parus dans la Depaache0412 du Cent,Senegal Dakar
239,snaas1,De1132 plus,414,", quelque1422s article0422s parus dans la Depaach",Senegal Dakar
240,snaas1,2 soutien du village,411, entier,Senegal Dakar
241,snaas1,De,1132," plus0414, quelque1422s article0422s parus dans la",Senegal Dakar
242,snaas1,"avons, nous avons le",1112, soutien du village0411 entier,Senegal Dakar
243,snaas1,"in, on est jaloux de",1112, notre1422 liberte.,Senegal Dakar
244,snaas1, jaloux de1112 notre,1422, liberte.,Senegal Dakar
245,snaas1,Sil,412, faut montrer patte0412 blanche0412 pour0412 circu,Senegal Dakar
246,snaas1,2 faut montrer patte,412," blanche0412 pour0412 circuler,",Senegal Dakar
247,snaas1,er patte0412 blanche,412," pour0412 circuler,",Senegal Dakar
248,snaas1, jeune memb1452re de,1112, lopposition aurait declare,Senegal Dakar
249,snaas1,Dans le,1112," coin, on est jaloux de1112 notre1422 liberte.",Senegal Dakar
250,snaas1,n a vu a Jonquiare,414,",",Senegal Dakar
251,snaas1,comme,411," on en a vu a Jonquiare0414,",Senegal Dakar
252,snaas1,12ment de1112 police,414,",",Senegal Dakar
253,snaas1, detache0312ment de,1112," police0414,",Senegal Dakar
254,snaas1, fait pour0412 l/le,1122, proteger.,Senegal Dakar
255,snaas1,Or,414,", un gros detache0312ment de1112 police0414,",Senegal Dakar
256,snaas1,e0412 la plus proche,411,,Senegal Dakar
257,snaas1,et sassure,412, que1122 tout est fait pour0412 l/le1122 protege,Senegal Dakar
258,snaas1,et sassure0412 que,1122, tout est fait pour0412 l/le1122 proteger.,Senegal Dakar
259,snaas1,tac0451t avec0412 le,1122," pref/, avec0412 la prefecture0412 la plus proche",Senegal Dakar
260,snaas1,"2 le1122 pref/, avec",412, la prefecture0412 la plus proche0411,Senegal Dakar
261,snaas1,322ment prend contac,451,"t avec0412 le1122 pref/, avec0412 la prefecture04",Senegal Dakar
262,snaas1,end contac0451t avec,412," le1122 pref/, avec0412 la prefecture0412 la plus",Senegal Dakar
263,snaas1,a chaque0412 voyage,412," du Premier Minis0454tre,",Senegal Dakar
264,snaas1,2nt leur0412 colare,413,0,Senegal Dakar
265,snaas1,Dun autre,1422," cate, (clic) a chaque0412 voyage0412 du Premie",Senegal Dakar
266,snaas1,"e, (clic) a chaque",412," voyage0412 du Premier Minis0454tre,",Senegal Dakar
267,snaas1, de1112 tous les bor,412,ds manifeste1422nt leur0412 colare0413.,Senegal Dakar
268,snaas1, bor0412ds manifeste,1422,nt leur0412 colare0413.,Senegal Dakar
269,snaas1,manifeste1422nt leur,412, colare0413.,Senegal Dakar
270,snaas1,Pierre0412 qui mane,411, au village0412,Senegal Dakar
271,snaas1,mane0411 au village,412,,Senegal Dakar
272,snaas1,connaat des barrage,412,s chaque0412 fois que1112 les opposants de1112 tou,Senegal Dakar
273,snaas1, barrage0412s chaque,412, fois que1112 les opposants de1112 tous les bor041,Senegal Dakar
274,snaas1, chaque0412 fois que,1112, les opposants de1112 tous les bor0412ds manifeste,Senegal Dakar
275,snaas1,site0412s officielle,413,s?,Senegal Dakar
276,snaas1,La cate,411," escarpee du Mont S/, SaintPierre0412 qui mane0",Senegal Dakar
277,snaas1,e1112 multiplier lor,412,s des visite0412s officielle0413s?,Senegal Dakar
278,snaas1, lor0412s des visite,412,s officielle0413s?,Senegal Dakar
279,snaas1, qui ont eu tendance,411, a se1112 multiplier lor0412s des visite0412s off,Senegal Dakar
280,snaas1,12 de1122 baisser de,1212,puis les elections.,Senegal Dakar
281,snaas1,"Comment, en plus",414,", eviter les manifestations",Senegal Dakar
282,snaas1, ne1122 cesse0412 de,1122, baisser de1212puis les elections.,Senegal Dakar
283,snaas1,mier Minis0452tre ne,1122, cesse0412 de1122 baisser de1212puis les election,Senegal Dakar
284,snaas1,0452tre ne1122 cesse,412, de1122 baisser de1212puis les elections.,Senegal Dakar
285,snaas1,est en re,1212,vanche tras inquiet.,Senegal Dakar
286,snaas1,La cote,412, du Premier Minis0452tre ne1122 cesse0412 de1122 b,Senegal Dakar
287,snaas1,412 du Premier Minis,452,tre ne1122 cesse0412 de1122 baisser de1212puis les,Senegal Dakar
288,snaas1,"pare0414, prefare",411, aatre0421 inconnue et tranquille0412,Senegal Dakar
289,snaas1,Beaulieu prepare,414,", prefare0411 aatre0421 inconnue et tranquille04",Senegal Dakar
290,snaas1,tape0412 necessaire,412, dans la tournee prevue.,Senegal Dakar
291,snaas1,Le1132 maire,412," de1122 Beaulieu, Marc1122 Blanc,",Senegal Dakar
292,snaas1,Le,1132," maire0412 de1122 Beaulieu, Marc1122 Blanc,",Senegal Dakar
293,snaas1,ampagne0412 profonde,413,0,Senegal Dakar
294,snaas1,des maame0412s ville,414,"s,",Senegal Dakar
295,snaas1,veut decouvrir,412," ce1122 quil0412s appelle0414nt, ce1132 quil04",Senegal Dakar
296,snaas1,ut decouvrir0412 ce,1122," quil0412s appelle0414nt, ce1132 quil0411 appe",Senegal Dakar
297,snaas1,ir0412 ce1122 quil,412,"s appelle0414nt, ce1132 quil0411 appelle0412",Senegal Dakar
298,snaas1, quil0412s appelle,414,"nt, ce1132 quil0411 appelle0412",Senegal Dakar
299,snaas1,autour0412 des maame,412,"s ville0414s,",Senegal Dakar
300,snaas1, toujour0411s autour,412," des maame0412s ville0414s,",Senegal Dakar
301,snaas1,es circuits habituel,412,s,Senegal Dakar
302,snaas1,i tournaient toujour,411,"s autour0412 des maame0412s ville0414s,",Senegal Dakar
303,snaas1,le1122 Premier Minis,454,"tre, lasse des circuits habituel0412s",Senegal Dakar
304,snaas1, valu a Beaulieu ce,1112, grand honneur0413?,Senegal Dakar
305,snaas1,ce1112 grand honneur,413,?,Senegal Dakar
306,snaas1,Le,1131," hasar0414d, tout baate1312ment,",Senegal Dakar
307,snaas1,Le1131 hasar,414,"d, tout baate1312ment,",Senegal Dakar
308,snaas1,"sar0414d, tout baate",1312,"ment,",Senegal Dakar
309,snaas1,car,412," le1122 Premier Minis0454tre, lasse des circuits",Senegal Dakar
310,snaas1,Questce,412, qui a donc0412 valu a Beaulieu ce1112 grand honn,Senegal Dakar
311,snaas1,ine0412 de1122 pate,411,s italienne0413s.,Senegal Dakar
312,snaas1,"nt, son usine0412 de",1122, pate0411s italienne0413s.,Senegal Dakar
313,snaas1,"ecemment, son usine",412, de1122 pate0411s italienne0413s.,Senegal Dakar
314,snaas1,in en mille0412 neuf,412," cent trente0412six0414,",Senegal Dakar
315,snaas1,neuf0412 cent trente,412,"six0414,",Senegal Dakar
316,snaas1,ux olympique0412s de,1122, Berlin en mille0412 neuf0412 cent trente0412six0,Senegal Dakar
317,snaas1,cal0412 de1122 cours,421,"e a pied, Louis Garret,",Senegal Dakar
318,snaas1,quatriame,411, aux jeux olympique0412s de1122 Berlin en mille041,Senegal Dakar
319,snaas1,1 aux jeux olympique,412,s de1122 Berlin en mille0412 neuf0412 cent trente0,Senegal Dakar
320,snaas1,"414, ses che1212mise",411,"s en soie,",Senegal Dakar
321,snaas1,de1122 gloire0412 de,1122, Beaulieu,Senegal Dakar
322,snaas1,nt son vin blanc sec,414,", ses che1212mise0411s en soie,",Senegal Dakar
323,snaas1,"anc sec0414, ses che",1212,"mise0411s en soie,",Senegal Dakar
324,snaas1,e0422s de1122 gloire,412, de1122 Beaulieu,Senegal Dakar
